catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Isiah Kiner-Falefa,643396,140,23,77.2,0.66,13,2.04,2.03,2.05,1,1.56,-.--,1.56
James McCann,543510,116,28,83.2,0.74,39,2.02,2.04,1.99,4,1.60,1.64,1.59
A.J. Ellis,454560,135,37,78.1,0.69,18,2.06,2.04,2.06,3,1.60,1.57,1.65
Yasmani Grandal,518735,119,30,80.8,0.74,33,2.04,2.04,2.04,5,1.61,-.--,1.61
Bruce Maxwell,622194,133,28,80.5,0.73,12,2.09,2.05,2.11,2,1.61,1.61,-.--
Tucker Barnhart,571466,113,27,79.0,0.69,37,2.03,2.05,2.03,8,1.74,1.74,1.74
Omar Narvaez,553882,145,26,80.5,0.72,38,2.03,2.05,2.02,8,1.62,1.63,1.62
Curt Casali,592200,113,30,79.5,0.77,9,2.10,2.05,2.14,4,1.58,1.61,1.57
Caleb Joseph,543376,110,32,79.7,0.72,39,2.04,2.05,2.02,5,1.53,1.61,1.51
Yadier Molina,425877,138,36,81.9,0.74,14,2.05,2.05,2.04,0,-.--,-.--,-.--
John Ryan Murphy,571974,109,27,83.7,0.74,14,1.99,2.05,1.97,0,-.--,-.--,-.--
Devin Mesoraco,519023,121,30,82.5,0.75,28,2.03,2.06,2.01,3,1.62,-.--,1.62
Austin Romine,519222,147,30,84.5,0.80,35,2.04,2.06,2.03,1,1.58,1.58,-.--
Mitch Garver,641598,142,27,81.7,0.78,20,2.08,2.06,2.09,0,-.--,-.--,-.--
Jett Bandy,542908,158,28,,0.73,5,2.04,2.06,2.00,0,-.--,-.--,-.--
Jacob Stallings,607732,134,29,84.2,0.76,3,2.04,2.06,2.00,1,1.55,-.--,1.55
Chris Iannetta,455104,115,35,81.4,0.79,20,2.04,2.06,2.04,3,1.61,-.--,1.61
Jason Castro,488771,142,31,80.3,0.70,11,2.05,2.07,2.02,0,-.--,-.--,-.--
Francisco Arcia,516472,108,29,80.5,0.76,11,2.05,2.08,2.03,1,1.59,-.--,1.59
Bobby Wilson,435064,142,35,77.8,0.71,16,2.09,2.08,2.09,1,1.78,1.78,-.--
Christian Vazquez,543877,111,28,80.5,0.71,14,2.06,2.08,2.02,0,-.--,-.--,-.--
Tyler Flowers,452095,144,32,74.7,0.75,26,2.14,2.08,2.16,3,1.72,1.70,1.73
Kevin Plawecki,608700,121,27,78.5,0.74,40,2.07,2.08,2.07,4,1.63,-.--,1.63
Russell Martin,431145,141,35,83.1,0.75,39,2.01,2.08,1.99,4,1.59,1.61,1.57
Brian McCann,435263,117,34,77.2,0.77,16,2.08,2.08,2.08,1,1.65,-.--,1.65
Robinson Chirinos,455139,140,34,81.1,0.77,21,2.04,2.08,2.03,4,1.66,-.--,1.66
Chance Sisco,642082,110,23,78.4,0.81,15,2.09,2.09,2.08,6,1.75,1.69,1.77
Kurt Suzuki,435559,144,35,80.3,0.81,24,2.08,2.10,2.07,6,1.65,1.68,1.63
Max Stassi,545358,117,27,79.3,0.78,26,2.09,2.10,2.08,0,-.--,-.--,-.--
Austin Barnes,605131,119,29,75.6,0.72,9,2.11,2.12,2.10,0,-.--,-.--,-.--
Jeff Mathis,425772,109,35,78.6,0.74,16,2.07,2.12,2.05,1,1.60,1.60,-.--
Tomas Telis,542513,146,27,81.9,0.89,2,2.13,2.12,2.13,0,-.--,-.--,-.--
Chris Gimenez,460269,142,36,79.4,0.79,5,2.12,2.14,2.10,3,1.61,1.63,1.59
Victor Caratini,605170,112,25,81.0,0.81,14,2.08,2.15,2.07,4,1.69,1.65,1.70
Danny Jansen,643376,141,23,81.9,0.81,11,2.08,2.16,2.03,3,1.63,-.--,1.63
Andrew Susac,572180,110,28,,1.05,1,2.44,2.44,-.--,0,-.--,-.--,-.--
Miguel Montero,471083,120,35,,0.67,1,2.04,-.--,2.04,0,-.--,-.--,-.--
David Freitas,571679,136,29,79.4,0.78,6,2.12,-.--,2.12,1,1.76,1.76,-.--
Tim Federowicz,543148,113,31,79.8,0.74,2,2.00,-.--,2.00,0,-.--,-.--,-.--
Travis d'Arnaud,518595,121,29,,0.82,1,2.13,-.--,2.13,1,1.63,-.--,1.63
Nick Ciuffo,624419,139,23,85.8,0.73,4,1.89,-.--,1.89,1,1.62,1.62,-.--
Dustin Garneau,572863,145,31,,0.73,1,1.99,-.--,1.99,0,-.--,-.--,-.--
Eric Haase,606992,114,26,,0.73,2,1.89,-.--,1.89,0,-.--,-.--,-.--
Steven Baron,571467,138,28,,0.83,1,2.07,-.--,2.07,0,-.--,-.--,-.--
Francisco Pena,506747,138,29,80.3,0.79,7,2.03,-.--,2.03,1,1.65,1.65,-.--
Tony Cruz,488810,113,32,,0.78,1,2.07,-.--,2.07,0,-.--,-.--,-.--
Francisco Mejia,642336,135,23,,0.74,2,1.95,-.--,1.95,0,-.--,-.--,-.--
Joe Hudson,621529,108,27,,0.62,1,2.02,-.--,2.02,0,-.--,-.--,-.--
Carson Kelly,608348,138,24,80.6,0.87,2,2.15,-.--,2.15,0,-.--,-.--,-.--
